,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_href,analysis_url,duration_ms,time_signature,artist_pop,genres,track_pop
64,Cigarettes After Sex,Affection,Affection,4eVNSHRazoHgfYGv3AYFyZ,0.415,0.425,7,-11.232,1,0.025,0.497,0.908,0.105,0.248,89.839,https://api.spotify.com/v1/tracks/4eVNSHRazoHgfYGv3AYFyZ,https://api.spotify.com/v1/audio-analysis/4eVNSHRazoHgfYGv3AYFyZ,311000,4,80,ambient_pop dream_pop el_paso_indie shoegaze,55
65,Famy,Ava,Ava,05YoWLFjHU9qc4tXcCqtLW,0.419,0.791,0,-5.288,1,0.0381,0.0704,0.00399,0.0812,0.379,155.984,https://api.spotify.com/v1/tracks/05YoWLFjHU9qc4tXcCqtLW,https://api.spotify.com/v1/audio-analysis/05YoWLFjHU9qc4tXcCqtLW,238480,4,54,unknown,0
66,Conan Gray,Kid Krow,Heather,4xqrdfXkTW4T0RauPLv3WA,0.357,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.078,https://api.spotify.com/v1/tracks/4xqrdfXkTW4T0RauPLv3WA,https://api.spotify.com/v1/audio-analysis/4xqrdfXkTW4T0RauPLv3WA,198040,3,78,bedroom_pop pop pov:_indie,87
67,Conan Gray,Kid Krow,Maniac,6KfoDhO4XUWSbnyKjNp9c4,0.628,0.639,8,-5.46,1,0.0435,0.00162,0.0,0.354,0.493,108.045,https://api.spotify.com/v1/tracks/6KfoDhO4XUWSbnyKjNp9c4,https://api.spotify.com/v1/audio-analysis/6KfoDhO4XUWSbnyKjNp9c4,185773,4,78,bedroom_pop pop pov:_indie,80
68,Conan Gray,People Watching,People Watching,4JeOesjcWWlprTAvucDSJX,0.53,0.593,5,-7.286,1,0.0545,0.385,0.0,0.314,0.538,125.723,https://api.spotify.com/v1/tracks/4JeOesjcWWlprTAvucDSJX,https://api.spotify.com/v1/audio-analysis/4JeOesjcWWlprTAvucDSJX,158537,4,78,bedroom_pop pop pov:_indie,67
69,Conan Gray,Telepath,Telepath,3Z39gbqdaGL3WJXBG0gcuE,0.606,0.819,9,-4.804,1,0.049,0.00298,0.0,0.0702,0.744,75.006,https://api.spotify.com/v1/tracks/3Z39gbqdaGL3WJXBG0gcuE,https://api.spotify.com/v1/audio-analysis/3Z39gbqdaGL3WJXBG0gcuE,194973,4,78,bedroom_pop pop pov:_indie,66
70,Conan Gray,Sunset Season,Generation Why,79e2GU4RLPjAqnijfvsXYr,0.561,0.684,9,-8.235,1,0.0669,0.347,2.93e-06,0.122,0.528,81.977,https://api.spotify.com/v1/tracks/79e2GU4RLPjAqnijfvsXYr,https://api.spotify.com/v1/audio-analysis/79e2GU4RLPjAqnijfvsXYr,219680,4,78,bedroom_pop pop pov:_indie,62
71,Conan Gray,Sunset Season,Crush Culture,2sHwSBNDZN2yjCtgwStYt1,0.522,0.765,0,-5.395,1,0.193,0.146,0.0,0.0866,0.455,180.065,https://api.spotify.com/v1/tracks/2sHwSBNDZN2yjCtgwStYt1,https://api.spotify.com/v1/audio-analysis/2sHwSBNDZN2yjCtgwStYt1,204120,4,78,bedroom_pop pop pov:_indie,69
72,Conan Gray,Kid Krow,Wish You Were Sober,0kn2gu8Pd03DiYHzRvX2Xk,0.701,0.728,2,-5.226,1,0.0468,0.0178,0.0,0.17,0.696,91.071,https://api.spotify.com/v1/tracks/0kn2gu8Pd03DiYHzRvX2Xk,https://api.spotify.com/v1/audio-analysis/0kn2gu8Pd03DiYHzRvX2Xk,168880,4,78,bedroom_pop pop pov:_indie,76
73,Various Artists,Life's A Movie,Crush Culture,2A8HqRdelOG4ugnhrU556O,0.521,0.766,0,-5.395,1,0.169,0.146,0.0,0.0866,0.46,180.081,https://api.spotify.com/v1/tracks/2A8HqRdelOG4ugnhrU556O,https://api.spotify.com/v1/audio-analysis/2A8HqRdelOG4ugnhrU556O,204120,4,78,bedroom_pop pop pov:_indie,0
74,Fitz and The Tantrums,More Than Just a Dream (Deluxe Edition),Out of My League,2AYEOC02WLhUiOoaig2SEH,0.545,0.968,9,-3.553,0,0.0853,0.0387,0.00325,0.331,0.527,169.965,https://api.spotify.com/v1/tracks/2AYEOC02WLhUiOoaig2SEH,https://api.spotify.com/v1/audio-analysis/2AYEOC02WLhUiOoaig2SEH,209386,4,65,la_indie modern_alternative_rock modern_rock pop_rock pov:_indie,74
75,WONWOO,Bittersweet (feat. LeeHi),Bittersweet (feat. LeeHi),347PJwH4XqRbeaKaIW9sX3,0.824,0.68,10,-6.331,0,0.0425,0.425,0.0,0.0849,0.772,110.077,https://api.spotify.com/v1/tracks/347PJwH4XqRbeaKaIW9sX3,https://api.spotify.com/v1/audio-analysis/347PJwH4XqRbeaKaIW9sX3,174773,4,48,unknown,69
76,MGMT,Oracular Spectacular,Kids,1jJci4qxiYcOHhQR247rEU,0.451,0.931,9,-3.871,1,0.0719,0.00076,0.0049,0.361,0.172,122.961,https://api.spotify.com/v1/tracks/1jJci4qxiYcOHhQR247rEU,https://api.spotify.com/v1/audio-analysis/1jJci4qxiYcOHhQR247rEU,302840,4,72,alternative_rock indie_rock indietronica modern_rock rock,78
77,Halsey,hopeless fountain kingdom (Deluxe),Bad At Love,7y9iMe8SOB6z3NoHE2OfXl,0.675,0.751,0,-3.539,1,0.0296,0.0604,0.0,0.0893,0.612,118.384,https://api.spotify.com/v1/tracks/7y9iMe8SOB6z3NoHE2OfXl,https://api.spotify.com/v1/audio-analysis/7y9iMe8SOB6z3NoHE2OfXl,181279,4,81,electropop etherpop indie_poptimism pop,75
78,Huddy,America's Sweetheart,America's Sweetheart,3rJHx4kzPVlNPatZD3lVhK,0.589,0.438,1,-7.431,0,0.0277,0.573,0.0,0.128,0.0752,127.329,https://api.spotify.com/v1/tracks/3rJHx4kzPVlNPatZD3lVhK,https://api.spotify.com/v1/audio-analysis/3rJHx4kzPVlNPatZD3lVhK,204825,4,46,social_media_pop,0
79,Huddy,America's Sweetheart (Acoustic),America's Sweetheart - Acoustic,3s8Ria9nqj00rXvMXBzbz5,0.632,0.38,4,-8.424,1,0.0273,0.779,0.0,0.108,0.217,128.035,https://api.spotify.com/v1/tracks/3s8Ria9nqj00rXvMXBzbz5,https://api.spotify.com/v1/audio-analysis/3s8Ria9nqj00rXvMXBzbz5,206932,4,46,social_media_pop,28
80,The Rose,Dawn,She′s In The Rain,2I0LNCqlQpAPJlwOEWaefE,0.507,0.533,3,-4.396,1,0.0264,0.379,0.0,0.0771,0.429,92.916,https://api.spotify.com/v1/tracks/2I0LNCqlQpAPJlwOEWaefE,https://api.spotify.com/v1/audio-analysis/2I0LNCqlQpAPJlwOEWaefE,237577,4,66,k-pop k-pop_boy_group,0
81,The Rose,Dawn,Take Me Down,410SxKCcT9mo460XFLpbNt,0.44,0.705,2,-4.364,1,0.0334,0.298,0.0,0.302,0.376,89.044,https://api.spotify.com/v1/tracks/410SxKCcT9mo460XFLpbNt,https://api.spotify.com/v1/audio-analysis/410SxKCcT9mo460XFLpbNt,219367,4,66,k-pop k-pop_boy_group,0
82,The Rose,Dawn,Insomnia,1yiNT3F6TUvZ7XV7xWvu8o,0.331,0.517,3,-4.353,1,0.0335,0.598,0.0,0.195,0.361,74.062,https://api.spotify.com/v1/tracks/1yiNT3F6TUvZ7XV7xWvu8o,https://api.spotify.com/v1/audio-analysis/1yiNT3F6TUvZ7XV7xWvu8o,242322,4,66,k-pop k-pop_boy_group,0
83,The Rose,Void,I.L.Y.,3XE1R53gdbfHjLNa8hJ8hr,0.627,0.405,6,-7.335,1,0.0339,0.666,1.55e-06,0.112,0.187,137.67,https://api.spotify.com/v1/tracks/3XE1R53gdbfHjLNa8hJ8hr,https://api.spotify.com/v1/audio-analysis/3XE1R53gdbfHjLNa8hJ8hr,213217,4,66,k-pop k-pop_boy_group,0
84,The Rose,Void,Candy (so good),0ZOwwZlgXTvS0ybhhNhsht,0.658,0.776,5,-5.377,1,0.05,0.305,7.68e-05,0.161,0.684,115.94,https://api.spotify.com/v1/tracks/0ZOwwZlgXTvS0ybhhNhsht,https://api.spotify.com/v1/audio-analysis/0ZOwwZlgXTvS0ybhhNhsht,165479,4,66,k-pop k-pop_boy_group,0
85,The Rose,Void,BABY,2xzCH9be8QS7WTuboq1s3n,0.651,0.804,11,-5.416,0,0.124,0.0337,0.0,0.119,0.518,121.758,https://api.spotify.com/v1/tracks/2xzCH9be8QS7WTuboq1s3n,https://api.spotify.com/v1/audio-analysis/2xzCH9be8QS7WTuboq1s3n,173600,4,66,k-pop k-pop_boy_group,0
86,The Rose,Void,sorry,62lzOPP2ZTebFoztZZcm7X,0.388,0.642,10,-4.659,1,0.0337,0.471,0.0,0.306,0.402,173.61,https://api.spotify.com/v1/tracks/62lzOPP2ZTebFoztZZcm7X,https://api.spotify.com/v1/audio-analysis/62lzOPP2ZTebFoztZZcm7X,215477,4,66,k-pop k-pop_boy_group,0
87,The Rose,Void,Like We Used To,04RRoZHeGA7W1XMhECZEIK,0.636,0.495,2,-5.709,1,0.0294,0.353,0.0,0.832,0.516,97.898,https://api.spotify.com/v1/tracks/04RRoZHeGA7W1XMhECZEIK,https://api.spotify.com/v1/audio-analysis/04RRoZHeGA7W1XMhECZEIK,164978,4,66,k-pop k-pop_boy_group,0
88,The Rose,Sorry,Sorry,7zmrZMinkTMJ2kZgM9Kqgp,0.388,0.642,10,-4.659,1,0.0337,0.471,0.0,0.306,0.402,173.61,https://api.spotify.com/v1/tracks/7zmrZMinkTMJ2kZgM9Kqgp,https://api.spotify.com/v1/audio-analysis/7zmrZMinkTMJ2kZgM9Kqgp,215477,4,66,k-pop k-pop_boy_group,0
89,The Rose,RED,California,0yqaqKP5m4udAmyOH8KS9G,0.588,0.793,1,-2.293,0,0.0444,0.12,0.0,0.399,0.586,104.738,https://api.spotify.com/v1/tracks/0yqaqKP5m4udAmyOH8KS9G,https://api.spotify.com/v1/audio-analysis/0yqaqKP5m4udAmyOH8KS9G,170867,4,66,k-pop k-pop_boy_group,0
90,The Rose,RED,RED,1JsBcVdlKZJmDPJWu4wJPC,0.623,0.743,8,-2.26,1,0.0353,0.224,0.0,0.0914,0.52,128.07,https://api.spotify.com/v1/tracks/1JsBcVdlKZJmDPJWu4wJPC,https://api.spotify.com/v1/audio-analysis/1JsBcVdlKZJmDPJWu4wJPC,176467,4,66,k-pop k-pop_boy_group,0
91,The Rose,Strangers from hell Pt.1 (Original Television Soundtrack),Strangers,06Xf2PIQSPZ0Eqz8Cd5DB6,0.491,0.796,1,-3.868,0,0.05,0.0684,0.000939,0.0966,0.342,152.092,https://api.spotify.com/v1/tracks/06Xf2PIQSPZ0Eqz8Cd5DB6,https://api.spotify.com/v1/audio-analysis/06Xf2PIQSPZ0Eqz8Cd5DB6,208360,4,66,k-pop k-pop_boy_group,46
92,The Rose,Tofu Personified Pt. 3 (Original Television Soundtrack),with you,4epozEKOwPtszj2zaKeVIP,0.76,0.328,3,-9.781,1,0.0349,0.919,0.00817,0.13,0.297,122.025,https://api.spotify.com/v1/tracks/4epozEKOwPtszj2zaKeVIP,https://api.spotify.com/v1/audio-analysis/4epozEKOwPtszj2zaKeVIP,209231,4,66,k-pop k-pop_boy_group,51
93,Various Artists,JTBC SuperBand Episode 7,ILYSB,2k5PT7lJxuJ1prVA5R3C5x,0.355,0.349,5,-8.028,1,0.0518,0.684,4.67e-06,0.111,0.108,81.299,https://api.spotify.com/v1/tracks/2k5PT7lJxuJ1prVA5R3C5x,https://api.spotify.com/v1/audio-analysis/2k5PT7lJxuJ1prVA5R3C5x,233429,4,0,korean_superband,0
94,DAY6,SUNRISE,You Were Beautiful,71WZ7yFuwxmQz5jJUpvkGv,0.458,0.617,5,-3.464,0,0.0331,0.0649,0.0,0.109,0.418,167.925,https://api.spotify.com/v1/tracks/71WZ7yFuwxmQz5jJUpvkGv,https://api.spotify.com/v1/audio-analysis/71WZ7yFuwxmQz5jJUpvkGv,283160,4,61,k-pop k-pop_boy_group,24
95,WOOSUNG,ITAEWON CLASS (Original Television Soundtrack) Pt. 5,You Make Me Back,1cwHRnup3iQoGAzUDwXQsh,0.536,0.507,3,-6.204,0,0.0276,0.554,7.03e-05,0.0599,0.344,110.056,https://api.spotify.com/v1/tracks/1cwHRnup3iQoGAzUDwXQsh,https://api.spotify.com/v1/audio-analysis/1cwHRnup3iQoGAzUDwXQsh,194773,3,58,k-pop korean_ost,6
96,WOOSUNG,WOLF,FACE,1cBdZdp3VuzMc0gsWSGQvy,0.954,0.356,6,-6.213,0,0.0967,0.0949,0.0,0.0581,0.513,113.034,https://api.spotify.com/v1/tracks/1cBdZdp3VuzMc0gsWSGQvy,https://api.spotify.com/v1/audio-analysis/1cBdZdp3VuzMc0gsWSGQvy,206133,4,58,k-pop korean_ost,0
97,WOOSUNG,Beautiful Girl,Beautiful Girl,5y3iGBS4FnaAF75VF9It5b,0.744,0.771,1,-3.936,0,0.0732,0.419,0.0,0.182,0.524,102.945,https://api.spotify.com/v1/tracks/5y3iGBS4FnaAF75VF9It5b,https://api.spotify.com/v1/audio-analysis/5y3iGBS4FnaAF75VF9It5b,210107,4,58,k-pop korean_ost,0
98,Lorde,Pure Heroine,Team,3G6hD9B2ZHOsgf4WfNu7X1,0.69,0.578,6,-7.436,1,0.0929,0.167,0.0,0.305,0.416,99.961,https://api.spotify.com/v1/tracks/3G6hD9B2ZHOsgf4WfNu7X1,https://api.spotify.com/v1/audio-analysis/3G6hD9B2ZHOsgf4WfNu7X1,193059,4,75,art_pop metropopolis nz_pop pop,80
99,Sasha Alex Sloan,Dancing With Your Ghost,Dancing With Your Ghost,1TQXIltqoZ5XXyfCbAeSQQ,0.629,0.328,11,-8.284,1,0.029,0.768,2.5e-05,0.103,0.389,74.953,https://api.spotify.com/v1/tracks/1TQXIltqoZ5XXyfCbAeSQQ,https://api.spotify.com/v1/audio-analysis/1TQXIltqoZ5XXyfCbAeSQQ,197732,4,68,alt_z,80
